country,geo,year,lci_yoy_construction_F_pct,lci_yoy_comparator_B-S_pct,differential_pp,quarters_F,quarters_BS
Poland,PL,2025,6.22,7.46,-1.24,3,3
Poland,PL,AVG_2021_2025,,,-1.22,,
Portugal,PT,2021,6.40,1.78,4.62,4,4
Portugal,PT,2022,5.83,4.18,1.65,4,4
Portugal,PT,2023,5.66,5.94,-0.28,4,4
Portugal,PT,2024,7.46,6.72,0.74,4,4
Portugal,PT,2025,2.96,2.60,0.36,3,3
Portugal,PT,AVG_2021_2025,,,1.42,,
Romania,RO,2021,4.10,4.45,-0.35,4,4
Romania,RO,2022,11.72,11.58,0.14,4,4
Romania,RO,2023,24.81,16.09,8.72,4,4
Romania,RO,2024,16.43,14.04,2.39,4,4
Romania,RO,2025,14.87,9.89,4.98,3,3
Romania,RO,AVG_2021_2025,,,3.17,,
Slovakia,SK,2021,4.10,5.28,-1.18,4,4
Slovakia,SK,2022,15.54,8.95,6.58,4,4
Slovakia,SK,2023,12.14,9.96,2.18,4,4
Slovakia,SK,2024,8.80,6.60,2.20,4,4
Slovakia,SK,2025,3.55,4.89,-1.34,3,3
Slovakia,SK,AVG_2021_2025,,,1.69,,
Slovenia,SI,2021,7.22,6.42,0.80,4,4
Slovenia,SI,2022,7.27,4.72,2.55,4,4
Slovenia,SI,2023,10.24,10.11,0.12,4,4
Slovenia,SI,2024,10.04,6.33,3.70,4,4
Slovenia,SI,2025,3.06,3.91,-0.85,3,3
Slovenia,SI,AVG_2021_2025,,,1.27,,
Spain,ES,2021,-0.50,-0.08,-0.42,4,4
Spain,ES,2022,3.74,2.68,1.07,4,4
Spain,ES,2023,5.16,5.60,-0.45,4,4
Spain,ES,2024,2.51,4.18,-1.67,4,4
Spain,ES,2025,2.55,1.38,1.17,3,3
Spain,ES,AVG_2021_2025,,,-0.06,,
Sweden,SE,2021,,,,0,0
Sweden,SE,2022,,,,0,0
Sweden,SE,2023,,,,0,0
Sweden,SE,2024,,,,0,0
Sweden,SE,2025,,,,0,0
Sweden,SE,AVG_2021_2025,,,,,
